w_hover,ucb_total,ucb_hover,ucb_cruise,exploit_hover,explore_hover,exploit_cruise,explore_cruise,hover_eta,hover_std_raw,hover_std_lam95,cruise_ld,cruise_std_raw,cruise_std_lam95,hover_lower95,hover_upper95,cruise_lower95,cruise_upper95,median_hover,median_cruise,kappa_hover_eff,kappa_cruise_eff,lambda95_hover,lambda95_cruise,U_hover_raw_percent,U_cruise_raw_percent,AR,lambda,twist,alpha_hover,v_hover,alpha_cruise,v_cruise,de_fun,de_nit,de_nfev,de_success,de_message
0,1.93981,1.94259,1.93981,1.10444,0.838149,1.90756,0.0322465,0.421281,0.0995724,0.164242,6.57915,0.261174,0.491341,0.0993665,0.743195,5.61612,7.54217,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3,11.7034,37.1876,8.46687,25,-1.93981,37,5400,True,Optimization terminated successfully.
0.05,1.9846,2.83576,1.93981,1.99578,0.839981,1.90756,0.0322465,0.761278,0.09979,0.164601,6.57915,0.261174,0.491341,0.43866,1.0839,5.61612,7.54217,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3,13.6473,19.6357,8.46688,25,-1.9846,29,4432,True,Optimization terminated successfully.
0.1,2.0294,2.83576,1.93981,1.99565,0.84011,1.90756,0.0322465,0.761227,0.0998054,0.164626,6.57915,0.261174,0.491341,0.43856,1.08389,5.61612,7.54217,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3,13.6574,19.6357,8.46682,25,-2.0294,55,8016,True,Optimization terminated successfully.
0.15,2.0742,2.83576,1.93981,1.99578,0.839982,1.90756,0.0322465,0.761277,0.0997902,0.164601,6.57915,0.261174,0.491341,0.438659,1.0839,5.61612,7.54217,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3,13.6473,19.6357,8.46689,25,-2.0742,49,7240,True,Optimization terminated successfully.
0.2,2.119,2.83576,1.93981,1.99578,0.839982,1.90756,0.0322465,0.761277,0.0997902,0.164601,6.57915,0.261174,0.491341,0.438659,1.0839,5.61612,7.54217,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3,13.6473,19.6357,8.46688,25,-2.119,40,6052,True,Optimization terminated successfully.
0.25,2.16379,2.83576,1.93981,1.99578,0.839982,1.90756,0.0322464,0.761277,0.0997902,0.164601,6.57915,0.261174,0.491341,0.438659,1.0839,5.61612,7.54217,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3,13.6473,19.6357,8.46691,25,-2.16379,49,7216,True,Optimization terminated successfully.
0.3,2.20861,2.84107,1.93755,2.00269,0.838383,1.90534,0.0322184,0.763913,0.0996002,0.164288,6.57148,0.260947,0.490914,0.441909,1.08592,5.60929,7.53367,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.5,-3.05344,13.6457,19.6352,8.48235,25,-2.20861,38,5708,True,Optimization terminated successfully.
0.35,2.29505,3.78412,1.49324,3.25969,0.524434,1.45875,0.0344839,1.24339,0.0623029,0.102767,5.03122,0.279296,0.525434,1.04196,1.44481,4.00137,6.06107,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.653684,-10.6611,17.786,19.4407,12.24,25,-2.29505,38,5916,True,Optimization terminated successfully.
0.4,2.41099,3.81508,1.47493,3.31093,0.504144,1.44057,0.0343597,1.26293,0.0598925,0.098791,4.96851,0.27829,0.523541,1.0693,1.45656,3.94237,5.99465,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.676369,-10.7867,17.8171,19.4395,12.4773,25,-2.41099,38,5876,True,Optimization terminated successfully.
0.45,2.52866,3.82908,1.46469,3.3371,0.491972,1.43038,0.0343104,1.27292,0.0584465,0.0964058,4.93335,0.27789,0.522789,1.08396,1.46187,3.90869,5.95802,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.690579,-10.8401,17.8383,19.4387,12.6138,25,-2.52866,35,5640,True,Optimization terminated successfully.
0.5,2.64727,3.8366,1.45793,3.35272,0.483874,1.42365,0.0342871,1.27888,0.0574844,0.0948189,4.91014,0.277702,0.522435,1.09303,1.46472,3.88617,5.93411,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.700655,-10.8642,17.8534,19.4382,12.704,25,-2.64727,32,4940,True,Optimization terminated successfully.
0.55,2.76645,3.84101,1.45309,3.363,0.478005,1.41882,0.0342755,1.2828,0.0567872,0.0936688,4.89348,0.277608,0.522258,1.09921,1.46639,3.86985,5.9171,0.381444,3.44899,1.94656,0.226355,1.64947,1.88128,24.8472,8.25747,18.75,0.708256,-10.8745,17.8629,19.4378,12.7674,25,-2.76645,36,5836,True,Optimization terminated successfully.
