geom_id,AR,lambda,twist,n_hover_steps,n_cruise_steps,meas_hover_alpha,meas_hover_v,meas_hover_mu,meas_hover_var,meas_cruise_alpha,meas_cruise_v,meas_cruise_mu,pred_hover_alpha,pred_hover_v,pred_hover_mu,pred_hover_std,pred_hover_lower95,pred_hover_upper95,pred_cruise_alpha,pred_cruise_v,pred_cruise_mu,pred_cruise_std,pred_cruise_lower95,pred_cruise_upper95,pred_hover_mu_norm,pred_cruise_mu_norm,meas_hover_mu_norm,meas_cruise_mu_norm
G001,28.757,0.7198,-4.7324,16,0,12.4532,19.7616,0.653763,0.00233023,,,,12.2222,21.5714,0.681853,0.0658589,0.468934,0.894773,10.1587,25,3.96815,0.264532,2.99274,4.94356,1.78756,1.15053,1.71392,
G002,29.7489,0.8788,-7.7778,16,0,11.1194,27.9599,0.518652,0.000466406,,,,12.5397,21.5714,0.742256,0.0498301,0.581158,0.903355,13.6508,25,3.83215,0.269467,2.83854,4.82576,1.94591,1.11109,1.35971,
G003,19.9275,0.8914,-12.6112,20,0,17.3303,19.4129,1.28249,0.000197062,,,,17.619,19.2222,0.537926,0.0838611,0.266806,0.809046,15.2381,25,4.65357,0.287962,3.59177,5.71538,1.41024,1.34926,3.36219,
G004,31.0963,0.6196,-14.7806,18,0,18.3923,23.8051,0.56329,7.43681e-05,,,,16.9841,23.9206,0.741865,0.0431411,0.602391,0.881338,14.6032,25,3.54325,0.329989,2.32648,4.76002,1.94489,1.02733,1.47673,
G005,26.5251,0.5331,-9.0775,18,0,15.4265,19.5093,1.04993,0.000673288,,,,16.3492,38.6032,0.75676,0.0401487,0.626961,0.88656,11.4286,25,4.34446,0.269392,3.35112,5.33779,1.98394,1.25963,2.75252,
G006,23.7262,0.942,-8.5299,17,0,15.9889,37.8143,0.544458,0.000393523,,,,12.381,21.5714,0.71637,0.0586102,0.526885,0.905855,13.9683,25,4.23121,0.260238,3.27163,5.19078,1.87805,1.2268,1.42736,
G007,25.2466,0.5126,-11.2285,18,0,16.6103,38.1756,0.55194,7.18399e-05,,,,16.8254,23.9206,0.653857,0.0768336,0.405456,0.902257,12.381,25,4.4346,0.275277,3.41957,5.44963,1.71416,1.28577,1.44698,
G008,22.227,0.545,-12.4272,19,0,19.5049,34.1051,0.613152,2.03709e-05,,,,16.9841,23.9206,0.681571,0.0631107,0.477536,0.885606,13.0159,25,4.73895,0.275932,3.7215,5.75639,1.78682,1.37401,1.60745,
G009,19.5166,0.8588,-4.5824,13,0,10.4124,23.881,0.524302,0.000322073,,,,11.746,21.5714,0.731883,0.0601117,0.537544,0.926221,9.84127,25,4.75501,0.27972,3.72359,5.78642,1.91872,1.37867,1.37452,
G010,21.3969,0.8101,-8.2399,19,0,14.3888,19.4576,1.10073,0.000279828,,,,12.5397,21.5714,0.740569,0.0480491,0.585228,0.89591,12.0635,25,4.45748,0.259248,3.50155,5.41341,1.94149,1.2924,2.88569,
